"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"USC00452675","EVERETT, WA US","47.97528","-122.195","14.0","2024","53.1","61.0","45.2"
"USC00452675","EVERETT, WA US","47.97528","-122.195","14.0","2025",,,
"USC00455525","MONROE, WA US","47.845","-121.99556","38.1","2024","52.8","61.6","43.9"
"USC00455525","MONROE, WA US","47.845","-121.99556","38.1","2025",,,
"US1WAKP0008","INDIANOLA 0.7 SSE, WA US","47.744598","-122.509685","63.1","2024",,,
"US1WAKP0068","PORT ORCHARD 6.3 ESE, WA US","47.493611","-122.517","65.8","2024",,,
"US1WAKP0003","BREMERTON 1.8 NE, WA US","47.585688","-122.609216","63.1","2024",,,
"US1WAPR0031","TACOMA 3.1 NW, WA US","47.286704","-122.50247","82.6","2024",,,
"US1WAPR0075","GIG HARBOR 3.4 NW, WA US","47.357317","-122.64812","14.9","2024",,,
"US1WASN0058","MILL CREEK 1.8 NE, WA US","47.875573","-122.176131","137.2","2024",,,
"USW00094248","RENTON MUNICIPAL AIRPORT, WA US","47.49513","-122.21442","5.5","2024",,,
"USW00094248","RENTON MUNICIPAL AIRPORT, WA US","47.49513","-122.21442","5.5","2025",,,
"US1WAKG0009","KENT 2.9 ENE, WA US","47.408881","-122.180106","147.2","2024",,,
"USC00458278","TACOMA NUMBER 1, WA US","47.2472","-122.4122","7.6","2024","53.8","61.0","46.6"
"USC00458278","TACOMA NUMBER 1, WA US","47.2472","-122.4122","7.6","2025",,,
"US1WASN0012","BOTHELL 4.9 NNW, WA US","47.83021","-122.21544","89.3","2024",,,
"US1WAIS0040","FREELAND 1.2 ESE, WA US","48.005686","-122.514642","78.0","2024",,,
"US1WAPR0054","GIG HARBOR 1.6 W, WA US","47.3245","-122.6224","83.5","2024",,,
"US1WAKP0067","TRACYTON 2.6 E, WA US","47.610821","-122.599468","41.8","2024",,,
"US1WAKP0072","WINSLOW 3.0 SW, WA US","47.602984","-122.567639","81.7","2024",,,
"US1WAKP0074","BREMERTON 7.2 NNE, WA US","47.642164","-122.632938","49.7","2024",,,
"US1WASN0109","EVERETT 6.6 SSE, WA US","47.8707","-122.1608","147.8","2024",,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","47.26744","-122.57623","88.4","2024",,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","47.26744","-122.57623","88.4","2025",,,
"US1WAKG0035","WOODINVILLE 1.7 SE, WA US","47.729542","-122.08357","66.4","2024",,,
"US1WAKG0076","LAKELAND NORTH 0.5 ENE, WA US","47.3308","-122.2673","149.0","2024",,,
"US1WASN0090","MUKILTEO 1.1 S, WA US","47.911389","-122.311111","112.8","2024",,,
"USW00024222","EVERETT SNOHOMISH CO AIRPORT, WA US","47.92322","-122.28308","167.1","2024","53.8","60.2","47.4"
"USW00024222","EVERETT SNOHOMISH CO AIRPORT, WA US","47.92322","-122.28308","167.1","2025",,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2024",,,
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","47.6872","-122.2553","18.3","2025",,,
"USC00456706","POULSBO 1 NW, WA US","47.80639","-122.65167","60.4","2024",,,
"USC00458508","TOLT SOUTH FORK RESERVOIR, WA US","47.7","-121.6908","609.6","2024","49.2","56.1","42.2"
"USC00458508","TOLT SOUTH FORK RESERVOIR, WA US","47.7","-121.6908","609.6","2025",,,
"US1WAKP0031","OLALLA 2.2 NW, WA US","47.453481","-122.573739","47.9","2024",,,
"US1WAKG0219","CARNATION 3.6 N, WA US","47.69756","-121.91603","99.7","2024",,,
"USC00451233","CEDAR LAKE, WA US","47.4144","-121.7561","480.4","2024",,,
"US1WAKG0248","FEDERAL WAY 2.5 SE, WA US","47.28895","-122.298461","118.9","2024",,,
"US1WAKP0062","SEABECK 0.9 S, WA US","47.628587","-122.824603","104.2","2024",,,
"US1WAKG0003","LAKE FOREST PARK 0.4 W, WA US","47.763558","-122.293917","43.9","2024",,,
"USW00094263","BREMERTON, WA US","47.48333","-122.76667","135.3","2024",,,
"USW00094263","BREMERTON, WA US","47.48333","-122.76667","135.3","2025",,,
"US1WAKG0263","LAKE FOREST PARK 0.8 SSE, WA US","47.75172","-122.2795","7.9","2024",,,
"US1WAKG0088","FEDERAL WAY 2.5 NNE, WA US","47.346","-122.322","41.5","2024",,,
"US1WAKG0143","NORTH BEND 5.4 ESE, WA US","47.4669","-121.6806","246.3","2024",,,
"US1WAKG0041","RENTON 3.6 SSE, WA US","47.433191","-122.17037","124.1","2024",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2025",,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","47.475184","-122.201889","64.6","2024",,,
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024","54.7","62.0","47.4"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2025",,,
